#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
# 
#  "EcoMon-SOOP (Gulf of Maine):  Zooplankton abundance data sampled in the Gulf of Maine by the NOAA/NMFS/NEFSC Ecosystem Monitoring Ships Of Opportunity Program (EcoMon-SOOP)"
# 
#-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*-----*
#
#                COPEPOD:  05-Sep-2017  (Web v10.2 x)
#
#              Live-link:  http://www.st.nmfs.noaa.gov/copepod/data/us-05103/index.html 
#
#                          A comprehensive content summary and alternate data formats
#                                 are available online at the web link above.
#
#
#
#SHP-CRUISE,YEAR,MON,DAY,TIMEgmt,TIMEloc,LATITUDE,LONGITDE,UPPER_Z,LOWER_Z,T,GEAR,MESH,NMFS_PGC,ITIS_TSN,MOD,LIF,PSC,SEX,V, Water Strained, Original-VALUE,Orig-UNITS, VALUE-per-volu,UNITS,F1,F2,F3,F4, VALUE-per-area,UNITS,F1,F2,F3,F4,SCIENTIFIC NAME -[ modifiers ]-, RECORD-ID,DATASET-ID, SHIP, PROJ, INST,Orig-CRUISE-ID,Orig-STATION-ID,Taxa-Name,Taxa-Modifiers,
#----------,----,---,---,-------,-------,--------,--------,-------,-------,-,----,----,--------,--------,---,---,---,---,-,---------------,---------------,----------,---------------,-----,--,--,--,--,---------------,-----,--,--,--,--,-------------------------------,----------,----------,-----,-----,-----,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4210000,   83964,  2,  0,  0,  0,c,           null,        4619.88,      #/m3,        4619.88, #/m3, 3, 4, 4,-1,          null ,-----,-1,-1,-1,-1,Podon spp. -[ ]-,0001_0015,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Podon spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212000,   85257,  0,  0,  0,  0,c,           null,        3079.92,      #/m3,        3079.92, #/m3, 0, 3, 3,-1,          null ,-----,-1,-1,-1,-1,Copepoda -[ ]-,0001_0001,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Copepoda,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   86084,  2,  0,  0,  0,c,           null,        9239.76,      #/m3,        9239.76, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Acartia spp. -[ ]-,0001_0021,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Acartia spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   85263,  2,  0,  0,  0,c,           null,        9239.76,      #/m3,        9239.76, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Calanus spp. -[ ]-,0001_0012,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Calanus spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   85272,  0,  0,  0,  0,c,           null,         200.86,      #/m3,         200.86, #/m3, 0, 0, 0,-1,          null ,-----,-1,-1,-1,-1,Calanus finmarchicus -[ ]-,0001_0002,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Calanus finmarchicus,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   85766,  0,  0,  0,  0,c,           null,        4619.88,      #/m3,        4619.88, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Centropages hamatus -[ ]-,0001_0008,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Centropages hamatus,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   85767,  0,  0,  0,  0,c,           null,       26179.32,      #/m3,       26179.32, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Centropages typicus -[ ]-,0001_0003,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Centropages typicus,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   85767,  0,  0,  0,  0,c,           null,      115497.00,      #/m3,      115497.00, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Centropages typicus -[ ]-,0001_0004,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Centropages typicus,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   85734,  2,  0,  0,  0,c,           null,        4619.88,      #/m3,        4619.88, #/m3, 5, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Metridia spp. -[ ]-,0001_0011,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Metridia spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   85741,  0,  0,  0,  0,c,           null,         200.86,      #/m3,         200.86, #/m3, 0, 0, 0,-1,          null ,-----,-1,-1,-1,-1,Metridia lucens -[ ]-,0001_0006,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Metridia lucens,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   -6012,  0,  0,  0,  0,c,           null,        9239.76,      #/m3,        9239.76, #/m3, 4, 4, 4,-1,          null ,-----,-1,-1,-1,-1,Paracalanus & pseudocalanus -[ ]-,0001_0023,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Paracalanus & pseudocalanus,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   85322,  2,  0,  0,  0,c,           null,        9239.76,      #/m3,        9239.76, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Paracalanus spp. -[ ]-,0001_0022,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Paracalanus spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   85369,  2,  0,  0,  0,c,           null,       26179.32,      #/m3,       26179.32, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Pseudocalanus spp. -[ ]-,0001_0024,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Pseudocalanus spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   85877,  0,  0,  0,  0,c,           null,      115497.00,      #/m3,      115497.00, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Temora longicornis -[ ]-,0001_0005,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Temora longicornis,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212010,   86100,  0,  0,  0,  0,c,           null,          33.48,      #/m3,          33.48, #/m3, 0, 0, 0,-1,          null ,-----,-1,-1,-1,-1,Tortanus discaudatus -[ ]-,0001_0007,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Tortanus discaudatus,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212030,   86110,  0,  0,  0,  0,c,           null,        1539.96,      #/m3,        1539.96, #/m3, 2, 2, 1,-1,          null ,-----,-1,-1,-1,-1,Harpacticoida -[ ]-,0001_0009,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Harpacticoida,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4212040,   88802,  2,  0,  0,  0,c,           null,        4619.88,      #/m3,        4619.88, #/m3, 3, 4, 2,-1,          null ,-----,-1,-1,-1,-1,Oithona spp. -[ ]-,0001_0010,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Oithona spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4218000,   95496,  0,  0,  0,  0,c,           null,         200.86,      #/m3,         200.86, #/m3, 0, 0, 4,-1,          null ,-----,-1,-1,-1,-1,Euphausiacea -[ ]-,0001_0019,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Euphausiacea,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4219000,   98276,  0,  0,  0,  0,c,           null,         200.86,      #/m3,         200.86, #/m3, 0, 0, 4,-1,          null ,-----,-1,-1,-1,-1,Brachyura -[ ]-,0001_0017,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Brachyura,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4219000,   98276,  0,  0,  0,  0,c,           null,          33.48,      #/m3,          33.48, #/m3, 0, 0, 0,-1,          null ,-----,-1,-1,-1,-1,Brachyura -[ ]-,0001_0018,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Brachyura,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4225000,   64358,  0,  0,  0,  0,c,           null,          33.48,      #/m3,          33.48, #/m3, 0, 2, 1,-1,          null ,-----,-1,-1,-1,-1,Polychaeta -[ ]-,0001_0020,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Polychaeta,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4262500,   76333,  0,  0,  0,  0,c,           null,        4619.88,      #/m3,        4619.88, #/m3, 3, 4, 2,-1,          null ,-----,-1,-1,-1,-1,Thecosomata -[ ]-,0001_0013,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Thecosomata,-[ ]-,
ZZZZ-910914,1991,  9, 14,  0.633,  0.633,  42.478, -70.442,   10.0,   10.0,H, 191, 270, 4290000,  155470,  0,  0,  0,  0,c,           null,        1539.96,      #/m3,        1539.96, #/m3, 4, 1, 1,-1,          null ,-----,-1,-1,-1,-1,Ectoprocta -[ ]-,0001_0016,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              2,Ectoprocta,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4032000,  718928,  0,  0,  0,  0,c,           null,          33.48,      #/m3,          33.48, #/m3, 0, 1, 1,-1,          null ,-----,-1,-1,-1,-1,Siphonophorae -[ ]-,0002_0011,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Siphonophorae,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212000,   85257,  0,  0,  0,  0,c,           null,        3213.83,      #/m3,        3213.83, #/m3, 0, 3, 4,-1,          null ,-----,-1,-1,-1,-1,Copepoda -[ ]-,0002_0001,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Copepoda,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212010,   86084,  2,  0,  0,  0,c,           null,        1606.91,      #/m3,        1606.91, #/m3, 3, 3, 4,-1,          null ,-----,-1,-1,-1,-1,Acartia spp. -[ ]-,0002_0015,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Acartia spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212010,   85263,  2,  0,  0,  0,c,           null,        4820.74,      #/m3,        4820.74, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Calanus spp. -[ ]-,0002_0008,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Calanus spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212010,   85272,  0,  0,  0,  0,c,           null,        1171.71,      #/m3,        1171.71, #/m3, 5, 3, 3,-1,          null ,-----,-1,-1,-1,-1,Calanus finmarchicus -[ ]-,0002_0002,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Calanus finmarchicus,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212010,   85767,  0,  0,  0,  0,c,           null,        9641.49,      #/m3,        9641.49, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Centropages typicus -[ ]-,0002_0003,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Centropages typicus,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212010,   85767,  0,  0,  0,  0,c,           null,        9641.49,      #/m3,        9641.49, #/m3, 6, 6, 4,-1,          null ,-----,-1,-1,-1,-1,Centropages typicus -[ ]-,0002_0004,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Centropages typicus,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212010,   85734,  2,  0,  0,  0,c,           null,        1606.91,      #/m3,        1606.91, #/m3, 3, 3, 4,-1,          null ,-----,-1,-1,-1,-1,Metridia spp. -[ ]-,0002_0007,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Metridia spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212010,   85741,  0,  0,  0,  0,c,           null,         200.86,      #/m3,         200.86, #/m3, 0, 0, 0,-1,          null ,-----,-1,-1,-1,-1,Metridia lucens -[ ]-,0002_0005,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Metridia lucens,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212010,   -6012,  0,  0,  0,  0,c,           null,        9641.49,      #/m3,        9641.49, #/m3, 4, 4, 4,-1,          null ,-----,-1,-1,-1,-1,Paracalanus & pseudocalanus -[ ]-,0002_0017,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Paracalanus & pseudocalanus,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212010,   85322,  2,  0,  0,  0,c,           null,        3213.83,      #/m3,        3213.83, #/m3, 5, 5, 4,-1,          null ,-----,-1,-1,-1,-1,Paracalanus spp. -[ ]-,0002_0016,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Paracalanus spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212010,   85369,  2,  0,  0,  0,c,           null,        1606.91,      #/m3,        1606.91, #/m3, 3, 3, 4,-1,          null ,-----,-1,-1,-1,-1,Pseudocalanus spp. -[ ]-,0002_0018,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Pseudocalanus spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4212040,   88802,  2,  0,  0,  0,c,           null,        1606.91,      #/m3,        1606.91, #/m3, 3, 4, 2,-1,          null ,-----,-1,-1,-1,-1,Oithona spp. -[ ]-,0002_0006,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Oithona spp.,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4217050,   95107,  0,  0,  0,  0,c,           null,         200.86,      #/m3,         200.86, #/m3, 3, 4, 2,-1,          null ,-----,-1,-1,-1,-1,Hyperiidea -[ ]-,0002_0009,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Hyperiidea,-[ ]-,
ZZZZ-910914,1991,  9, 14,  2.600,  2.600,  42.538, -69.997,   10.0,   10.0,H, 191, 270, 4218000,   95496,  0,  0,  0,  0,c,           null,         200.86,      #/m3,         200.86, #/m3, 0, 0, 4,-1,          null ,-----,-1,-1,-1,-1,Euphausiacea -[ ]-,0002_0012,EcoMon-SOOP (Gulf of Maine), 9000,   51, 1342,,              4,Euphausiacea,-[ ]-,
